sample_id,dialogue,reference_summary,generated_summary,rouge1_precision,rouge1_recall,rouge1_fmeasure,rouge2_precision,rouge2_recall,rouge2_fmeasure,rougeL_precision,rougeL_recall,rougeL_fmeasure,bleu1,bleu2,bleu3,bleu4,meteor_score,reference_length,hypothesis_length,length_ratio,compression_ratio,generated_flesch_reading_ease,generated_flesch_kincaid_grade,generated_gunning_fog,generated_automated_readability_index,generated_coleman_liau_index,generated_linsear_write_formula,generated_dale_chall_readability_score,reference_flesch_reading_ease,reference_flesch_kincaid_grade,reference_gunning_fog,reference_automated_readability_index,reference_coleman_liau_index,reference_linsear_write_formula,reference_dale_chall_readability_score,generated_total_words,generated_unique_words,generated_type_token_ratio,generated_average_word_length,reference_total_words,reference_unique_words,reference_type_token_ratio,reference_average_word_length,bert_precision,bert_recall,bert_f1,performance_category
0,"Hannah: Hey, do you have Betty's number?
Amanda: Lemme check
Hannah: <file_gif>
Amanda: Sorry, can't find it.
Amanda: Ask Larry
Amanda: He called her last time we were at the park together
Hannah: I don't know him well
Hannah: <file_gif>
Amanda: Don't be shy, he's very nice
Hannah: If you say so..
Hannah: I'd rather you texted him
Amanda: Just text him 🙂
Hannah: Urgh.. Alright
Hannah: Bye
Amanda: Bye bye",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,n's mother is looking for her new phone. She will send him a photo to him.,0.17647058823529413,0.1875,0.1818181818181818,0.0,0.0,0.0,0.17647058823529413,0.1875,0.1818181818181818,0,0,0,0,0.0,14,16,1.1428571428571428,0.875,98.25250000000001,1.5425000000000004,3.2,-0.06187500000000057,0.8000000000000007,3.0,6.993925,66.7871428571429,5.682857142857145,5.6571428571428575,5.620000000000001,7.314285714285717,3.0,11.8787,16,16,1.0,3.6875,14,13,0.9285714285714286,5.0,0.0,0.0,0.0,Poor
1,"Eric: MACHINE!
Rob: That's so gr8!
Eric: I know! And shows how Americans see Russian ;)
Rob: And it's really funny!
Eric: I know! I especially like the train part!
Rob: Hahaha! No one talks to the machine like that!
Eric: Is this his only stand-up?
Rob: Idk. I'll check.
Eric: Sure.
Rob: Turns out no! There are some of his stand-ups on youtube.
Eric: Gr8! I'll watch them now!
Rob: Me too!
Eric: MACHINE!
Rob: MACHINE!
Eric: TTYL?
Rob: Sure :)",Eric and Rob are going to watch a stand-up on youtube.,is looking for a new job. He likes it. He is not sure about it. He is going to see a new song with his girlfriend.,0.11538461538461539,0.25,0.15789473684210525,0.04,0.09090909090909091,0.05555555555555555,0.11538461538461539,0.25,0.15789473684210525,0,0,0,0,0.0,11,26,2.3636363636363638,0.4230769230769231,102.62211538461541,0.560384615384617,2.6,-2.057307692307692,-1.3923076923076945,2.25,5.780823076923077,87.99727272727276,3.7181818181818187,4.4,2.91,3.6545454545454525,4.5,8.488463636363637,26,19,0.7307692307692307,3.423076923076923,11,11,1.0,4.0,0.0,0.0,0.0,Poor
2,"Lenny: Babe, can you help me with something?
Bob: Sure, what's up?
Lenny: Which one should I pick?
Bob: Send me photos
Lenny:  <file_photo>
Lenny:  <file_photo>
Lenny:  <file_photo>
Bob: I like the first ones best
Lenny: But I already have purple trousers. Does it make sense to have two pairs?
Bob: I have four black pairs :D :D
Lenny: yeah, but shouldn't I pick a different color?
Bob: what matters is what you'll give you the most outfit options
Lenny: So I guess I'll buy the first or the third pair then
Bob: Pick the best quality then
Lenny: ur right, thx
Bob: no prob :)",Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,ny will buy a new dress for her request. She will buy it with her.,0.13333333333333333,0.06896551724137931,0.09090909090909091,0.0,0.0,0.0,0.13333333333333333,0.06896551724137931,0.09090909090909091,0,0,0,0,0.0,27,15,0.5555555555555556,1.8,108.9825,-0.07833333333333137,3.0,-1.3520000000000003,-0.4133333333333322,2.75,6.113833333333334,78.63333333333335,4.527407407407409,5.081481481481482,4.701111111111111,6.474074074074078,3.833333333333333,9.931048148148149,15,13,0.8666666666666667,3.466666666666667,27,22,0.8148148148148148,4.592592592592593,0.0,0.0,0.0,Poor
3,"Will: hey babe, what do you want for dinner tonight?
Emma:  gah, don't even worry about it tonight
Will: what do you mean? everything ok?
Emma: not really, but it's ok, don't worry about cooking though, I'm not hungry
Will: Well what time will you be home?
Emma: soon, hopefully
Will: you sure? Maybe you want me to pick you up?
Emma: no no it's alright. I'll be home soon, i'll tell you when I get home. 
Will: Alright, love you. 
Emma: love you too. ",Emma will be home soon and she will let Will know.,will come to eat dinner tonight.,0.16666666666666666,0.09090909090909091,0.11764705882352942,0.0,0.0,0.0,0.16666666666666666,0.09090909090909091,0.11764705882352942,0,0,0,0,0.0,11,6,0.5454545454545454,1.8333333333333333,87.94500000000002,2.4833333333333343,2.4000000000000004,2.7650000000000006,4.399999999999999,2.0,0.2976,103.37909090909093,1.572727272727274,4.4,1.1972727272727255,2.072727272727274,4.5,5.617554545454546,6,6,1.0,4.5,11,9,0.8181818181818182,3.6363636363636362,0.0,0.0,0.0,Poor
4,"Ollie: Hi , are you in Warsaw
Jane: yes, just back! Btw are you free for diner the 19th?
Ollie: nope!
Jane: and the  18th?
Ollie: nope, we have this party and you must be there, remember?
Jane: oh right! i lost my calendar..  thanks for reminding me
Ollie: we have lunch this week?
Jane: with pleasure!
Ollie: friday?
Jane: ok
Jane: what do you mean "" we don't have any more whisky!"" lol..
Ollie: what!!!
Jane: you just call me and the all thing i heard was that sentence about whisky... what's wrong with you?
Ollie: oh oh... very strange! i have to be carefull may be there is some spy in my mobile! lol
Jane: dont' worry, we'll check on friday.
Ollie: don't forget to bring some sun with you
Jane: I can't wait to be in Morocco..
Ollie: enjoy and see you friday
Jane: sorry Ollie, i'm very busy, i won't have time for lunch  tomorrow, but may be at 6pm after my courses?this trip to Morocco was so nice, but time consuming!
Ollie: ok for tea!
Jane: I'm on my way..
Ollie: tea is ready, did you bring the pastries?
Jane: I already ate them all... see you in a minute
Ollie: ok",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,is going to the gym with her parents. She will come to the gym at 6 pm. She will bring her some food to her place. She will bring some food from her parents.,0.17647058823529413,0.13953488372093023,0.15584415584415584,0.06060606060606061,0.047619047619047616,0.05333333333333334,0.17647058823529413,0.13953488372093023,0.15584415584415584,0,0,0,0,0.0,42,34,0.8095238095238095,1.2352941176470589,103.65455882352943,0.9132352941176478,3.4000000000000004,-0.002352941176472001,1.18823529411765,3.25,6.844570588235294,85.93071428571429,2.764285714285716,3.352380952380953,1.7557142857142836,3.019047619047619,2.2857142857142856,9.197433333333334,34,19,0.5588235294117647,3.6470588235294117,42,34,0.8095238095238095,4.285714285714286,0.0,0.0,0.0,Poor
5,"Benjamin: Hey guys, what are we doing with the keys today?
Hilary: I've got them. Whoever wants them can meet me at lunchtime or after
Elliot: I'm ok. We're meeting for the drinks in the evening anyway and I guess we'll be going back to the apartment together?
Hilary: Yeah, I guess so
Daniel: I'm with Hilary atm and won't let go of her for the rest of the day, so any option you guys choose is good for me
Benjamin: Hmm I might actually pass by at lunchtime, take the keys and go take a nap. I'm sooo tired after yesterday
Hilary: Sounds good. We'll be having lunch with some French people (the ones who work on the history of food in colonial Mexico - I already see you yawning your head off)
Benjamin: YAAAAWN 🙊 Where and where are you meeting?
Hilary: So I'm meeting them at the entrance to the conference hall at 2 pm and then we'll head to this place called La Cantina. Italian cuisine, which is quite funny, but that's what they've chosen
Benjamin: Interesting 😱 To be honest, Hilary, I almost feel like changing my mind. Wanting to take this nap might end up costing me to dear
Hilary: Oh come on 😂
Benjamin: All these terrible obstacles on mu way to bed might just prove to much to take
Hilary: We'll try to avoid talking about their subject of research. Oh wait, no, I'm actually meeting them because I wanted to chat about their research lol
Elliot: 🙉
Hilary: Do join us, we're going to have fun. And then you'll take the keys and take this most deserved of naps
Elliot: Sounds like a plan 😂
Hilary: 😎
Elliot: See you at 2 then xx",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,is going to the airport at the airport. She will be there at the airport and then they will meet at the airport. They will meet at the airport at the airport. They will meet at the airport.,0.42105263157894735,0.2807017543859649,0.3368421052631579,0.05405405405405406,0.03571428571428571,0.043010752688172046,0.2894736842105263,0.19298245614035087,0.23157894736842105,0,0,0,0,0.0,56,38,0.6785714285714286,1.4736842105263157,94.78197368421053,2.399210526315791,3.8000000000000003,2.16,3.673684210526318,3.75,0.4712,74.99380952380955,5.117857142857144,9.447619047619048,3.8429166666666674,5.678571428571431,5.166666666666667,8.32889761904762,38,15,0.39473684210526316,4.0,56,40,0.7142857142857143,4.375,0.0,0.0,0.0,Poor
6,"Max: Know any good sites to buy clothes from?
Payton: Sure :) <file_other> <file_other> <file_other> <file_other> <file_other> <file_other> <file_other>
Max: That's a lot of them!
Payton: Yeah, but they have different things so I usually buy things from 2 or 3 of them.
Max: I'll check them out. Thanks. 
Payton: No problem :)
Max: How about u?
Payton: What about me?
Max: Do u like shopping?
Payton: Yes and no.
Max: How come?
Payton: I like browsing, trying on, looking in the mirror and seeing how I look, but not always buying.
Max: Y not?
Payton: Isn't it obvious? ;)
Max: Sry ;)
Payton: If I bought everything I liked, I'd have nothing left to live on ;)
Max: Same here, but probably different category ;)
Payton: Lol
Max: So what do u usually buy?
Payton: Well, I have 2 things I must struggle to resist!
Max: Which are?
Payton: Clothes, ofc ;)
Max: Right. And the second one?
Payton: Books. I absolutely love reading!
Max: Gr8! What books do u read?
Payton: Everything I can get my hands on :)
Max: Srsly?
Payton: Yup :)",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,bought a new article about his opinion. He will buy it with him.,0.23076923076923078,0.1,0.13953488372093023,0.0,0.0,0.0,0.07692307692307693,0.03333333333333333,0.046511627906976744,0,0,0,0,0.0,30,13,0.43333333333333335,2.3076923076923075,83.09903846153848,3.283461538461541,8.753846153846155,0.6600000000000001,1.953846153846154,3.25,6.388130769230769,64.14500000000001,6.79666666666667,6.666666666666668,8.846999999999998,11.786666666666665,4.666666666666667,12.553833333333335,13,13,1.0,4.0,30,26,0.8666666666666667,5.366666666666666,0.0,0.0,0.0,Poor
7,"Rita: I'm so bloody tired. Falling asleep at work. :-(
Tina: I know what you mean.
Tina: I keep on nodding off at my keyboard hoping that the boss doesn't notice..
Rita: The time just keeps on dragging on and on and on.... 
Rita: I keep on looking at the clock and there's still 4 hours of this drudgery to go.
Tina: Times like these I really hate my work.
Rita: I'm really not cut out for this level of boredom.
Tina: Neither am I.",Rita and Tina are bored at work and have still 4 hours left.,is a lot of work. She's going to the party with her.,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0,0,0,0,0.0,13,12,0.9230769230769231,1.0833333333333333,102.045,0.5166666666666693,2.4000000000000004,-2.337500000000002,-2.366666666666667,2.0,0.2976,89.51692307692309,4.003076923076925,5.2,2.4607692307692304,2.8923076923076927,5.5,10.354376923076924,12,12,1.0,3.4166666666666665,13,12,0.9230769230769231,3.6923076923076925,0.0,0.0,0.0,Poor
8,"Beatrice: I am in town, shopping. They have nice scarfs in the shop next to the church. Do you want one?
Leo: No, thanks
Beatrice: But you don't have a scarf.
Leo: Because I don't need it.
Beatrice: Last winter you had a cold all the time. A scarf could help.
Leo: I don't like them.
Beatrice: Actually, I don't care. You will get a scarf.
Leo: How understanding of you!
Beatrice: You were complaining the whole winter that you're going to die. I've had enough.
Leo: Eh.","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.",is in Paris. He's going to buy some food from his parents. He'll buy some food from the same time. He'll buy some food from his parents.,0.2,0.21428571428571427,0.20689655172413796,0.034482758620689655,0.037037037037037035,0.03571428571428571,0.16666666666666666,0.17857142857142858,0.17241379310344826,0,0,0,0,0.0,27,27,1.0,1.0,102.85041666666669,0.5906481481481514,2.7,1.1338888888888903,1.9407407407407398,2.375,5.7257444444444445,83.46583333333336,4.971296296296298,8.362962962962964,4.857777777777777,5.207407407407409,6.75,7.814988888888889,27,16,0.5925925925925926,4.074074074074074,27,24,0.8888888888888888,4.148148148148148,0.0,0.0,0.0,Poor
9,"Ivan: hey eric
Eric: yeah man
Ivan: so youre coming to the wedding
Eric: your brother's
Ivan: yea
Eric: i dont know mannn
Ivan: YOU DONT KNOW??
Eric: i just have a lot to do at home, plus i dont know if my parents would let me
Ivan: ill take care of your parents
Eric: youre telling me you have the guts to talk to them XD
Ivan: thats my problem
Eric: okay man, if you say so
Ivan: yea just be there 
Eric: alright",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,is going to see the cinema with his girlfriend. He will see him with him.,0.3333333333333333,0.23809523809523808,0.2777777777777778,0.07142857142857142,0.05,0.058823529411764705,0.2,0.14285714285714285,0.16666666666666666,0,0,0,0,0.0,18,15,0.8333333333333334,1.2,92.06250000000001,2.2816666666666663,5.666666666666668,0.8460000000000001,2.2933333333333366,3.25,6.113833333333334,84.90000000000003,3.653333333333336,3.6,3.741666666666667,4.755555555555556,3.5,8.469011111111111,15,13,0.8666666666666667,3.933333333333333,18,17,0.9444444444444444,4.388888888888889,0.0,0.0,0.0,Poor
